YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM
2025,1106,New Mexico,10,32,37,0.8288,38,0.8815,102,108.5,31,95.5,,13,217,0.5565,46,92.25,7,80.32,23,47,11.93
2025,1105,Norfolk St.,16,64,178,0.5776,160,0.7231,2,129.1,12,93.2,,35.9,2,0.8049,175,77.34,223,107.48,208,181,-30.14
2025,1104,North Carolina,11,64,33,0.8367,45,0.8714,9,122.1,5,92.4,,29.7,51,0.7417,15,99.97,34,88.58,33,37,11.39
2025,1103,Oklahoma,9,64,38,0.8281,32,0.8879,42,113.4,30,95.4,,18,22,0.7603,16,99.23,54,91.52,43,39,7.71
2025,1102,Oregon,5,32,30,0.8402,35,0.8859,19,114.5,8,89.5,,25,23,0.7086,41,93.32,27,87.26,28,32,6.06
2025,1101,Purdue,4,16,27,0.8534,48,0.8687,8,120.3,39,95.9,,24.4,21,0.7727,11,102.75,80,95.82,45,17,6.93
2025,1100,Robert Morris,15,64,156,0.604,133,0.7606,15,119.1,48,97.9,,21.2,50,0.7153,160,78.56,122,99.66,119,139,-21.1
2025,1099,Saint Francis,16,68,310,0.3946,270,0.6003,175,104.3,270,110,,-5.7,235,0.548,309,66.22,309,114.74,315,310,-48.52
2025,1098,Saint Mary's,7,32,24,0.8585,28,0.897,17,120.9,51,99.1,,21.8,12,0.774,92,84.34,29,87.69,19,16,-3.35
2025,1097,San Diego St.,11,68,50,0.8003,62,0.8479,6,123.2,59,99.9,,23.3,11,0.7744,146,79.78,23,86.07,30,45,-6.29
2025,1096,SIU Edwardsville,16,64,218,0.5332,212,0.6732,2,122.1,96,101.4,,20.7,6,0.788,268,69.71,176,103.94,198,218,-34.23
2025,1095,St. John's,2,32,12,0.8914,11,0.9354,8,118.4,15,91.6,,26.8,24,0.7083,49,91.34,1,72.73,5,12,18.61
2025,1094,Tennessee,2,8,7,0.9184,10,0.9355,3,123.5,43,94.1,,29.4,85,0.6956,33,94.7,9,80.54,6,5,14.16
2025,1093,Texas,11,68,39,0.8273,50,0.8656,26,114,75,98.2,,15.8,48,0.7453,42,93.16,58,91.94,48,42,1.22
2025,1092,Texas A&M,4,32,20,0.8669,26,0.8995,27,117.2,13,92,,25.2,4,0.7636,52,91.13,12,82.39,12,18,8.74
2025,1091,Texas Tech,3,8,8,0.9125,5,0.95,10,119.3,60,98.5,,20.8,11,0.7521,10,104.23,51,91.28,27,6,12.95
2025,1090,Troy,14,64,98,0.6992,77,0.8288,13,117.7,19,93.3,,24.4,8,0.7479,173,77.44,82,96.06,84,97,-18.62
2025,1089,UC San Diego,12,64,46,0.8081,22,0.9056,9,119.5,92,100.5,,19,3,0.7589,67,88.91,42,89.41,35,35,-0.5
2025,1088,UCLA,7,32,29,0.8443,34,0.8869,15,115.6,28,94.2,,21.4,28,0.7085,54,90.88,30,87.87,23,24,3.01
2025,1087,UNC Wilmington,14,64,110,0.6839,121,0.7736,20,115.1,126,102.1,,13,228,0.57,103,83.56,219,106.8,157,105,-23.24
2025,1086,Utah St.,10,64,54,0.7964,42,0.8732,69,109.2,242,108,,1.2,242,0.5407,20,98.12,156,102.62,92,53,-4.5
2025,1085,Vanderbilt,10,64,43,0.8189,37,0.8841,40,111.9,63,96.2,,15.7,176,0.5883,21,97.64,66,92.87,57,52,4.77
2025,1084,VCU,11,64,35,0.8354,29,0.896,9,116.9,110,99.4,,17.5,169,0.5819,58,89.77,38,89.03,30,30,0.74
2025,1083,Wisconsin,3,32,13,0.8895,13,0.9247,47,114.7,29,97.7,,17,53,0.7399,13,102.17,25,86.59,14,11,15.58
2025,1082,Wofford,15,64,141,0.6407,101,0.7965,71,111.4,17,94,,17.4,64,0.7242,105,83.46,294,113.38,210,115,-29.92
2025,1081,Xavier,11,64,41,0.8227,36,0.8845,72,108.8,17,92.1,,16.7,85,0.66,44,92.59,35,88.76,37,44,3.83
2025,1080,Yale,13,64,77,0.7437,84,0.8187,49,111.9,63,97.3,,14.6,144,0.603,53,91.09,104,98.21,82,73,-7.12
2024,1079,Akron,14,64,129,0.6819,130,0.7863,25,113.7,92,98.1,,15.6,67,0.6972,183,76.48,129,98.14,116,117,-21.66
2024,1078,Alabama,4,4,15,0.8868,19,0.9137,241,100.6,109,101,,-0.4,207,0.5878,1,116.9,34,89.69,17,17,27.21
2024,1077,Arizona,2,16,4,0.9672,3,0.9781,168,106.8,152,105.8,,1,309,0.483,5,107.7,4,78.96,5,8,28.74
2024,1076,Auburn,4,64,3,0.9739,1,0.9874,148,104.3,225,105.8,,-1.5,344,0.4558,8,103.28,3,78.89,2,4,24.39
2024,1075,Baylor,3,32,17,0.882,21,0.9131,92,109.7,115,102.6,,7.1,246,0.549,13,100.27,95,95.11,45,12,5.16
2024,1074,Boise St.,10,68,44,0.8291,44,0.8884,84,109.6,87,100.7,,8.9,222,0.5521,74,86.51,54,91.53,38,37,-5.02
2024,1073,BYU,6,64,18,0.8817,16,0.923,96,107.3,40,94.4,,12.9,195,0.5753,11,101.68,36,89.79,18,19,11.89
2024,1072,Clemson,6,8,30,0.8543,35,0.8999,18,116.1,30,94.9,,21.2,92,0.6639,31,93.21,89,94.57,59,35,-1.36
2024,1071,Colgate,14,64,171,0.6194,198,0.7119,40,115,141,104.3,,10.7,142,0.6032,239,72.42,147,99.76,140,145,-27.34
2024,1070,College of Charleston,13,64,96,0.7433,99,0.8224,144,106.4,152,103.8,,2.6,140,0.6162,46,90.19,152,100.01,124,101,-9.82
2024,1069,Colorado,10,32,29,0.8578,36,0.8984,47,112.1,94,99.5,,12.6,120,0.6219,24,95.53,42,90.49,27,26,5.04
2024,1068,Colorado St.,10,64,39,0.8346,40,0.8932,29,116.6,46,97.8,,18.8,7,0.7661,63,88.55,73,93.49,48,36,-4.94
