YEAR,TEAM NO,TEAM ID,TEAM,SEED,ROUND,CONF,CONF ID,SEED_PAKE,SEED_PAKE RANK,SEED_PASE,SEED_PASE RANK,SEED_GAMES,SEED_W,SEED_L,SEED_WIN%,SEED_R64,SEED_R32,SEED_S16,SEED_E8,SEED_F4,SEED_F2,SEED_CHAMP,SEED_TOP2,SEED_CHAMP%,PROG_PAKE,PROG_PAKE RANK,PROG_PASE,PROG_PASE RANK,PROG_GAMES,PROG_W,PROG_L,PROG_WIN%,PROG_R64,PROG_R32,PROG_S16,PROG_E8,PROG_F4,PROG_F2,PROG_CHAMP,PROG_TOP2,PROG_F4%,PROG_CHAMP%,CONF_PAKE,CONF_PAKE RANK,CONF_PASE,CONF_PASE RANK,CONF_GAMES,CONF_W,CONF_L,CONF_WIN%,CONF_R64,CONF_R32,CONF_S16,CONF_E8,CONF_F4,CONF_F2,CONF_CHAMP,CONF_TOP2,CONF_CHAMP%
2025,1135,40,Connecticut,8,32,BE,8,0.9,8,3.5,4,113,49,64,0.434,64,33,7,3,3,3,0,0,0.152,10.8,2.0,13.3,1.0,35.0,29.0,6.0,0.829,10.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,0.863,0.491,-0.6,19,-7.3,30,232,140,92,0.603,98,63,34,19,12,6,6,23,0.9520000000000001
2025,1134,43,Creighton,9,32,BE,8,-1.3,10,2.6,8,106,42,64,0.396,64,31,5,4,2,0,0,0,0.12300000000000001,0.6,56.0,1.1,40.0,20.0,11.0,9.0,0.55,9.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.389,0.069,-0.6,19,-7.3,30,232,140,92,0.603,98,63,34,19,12,6,6,23,0.9520000000000001
2025,1133,48,Drake,11,32,MVC,19,15.3,2,15.7,1,122,58,64,0.475,64,32,16,6,4,0,0,0,0.11699999999999999,-2.8,228.0,-2.9,228.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.01,1.7,9,4.1,7,42,21,21,0.5,21,12,5,2,2,0,0,1,0.171
2025,1132,50,Duke,1,4,ACC,2,18.5,1,-5.3,14,258,206,52,0.798,64,62,52,38,24,18,12,64,0.9990000000000001,3.1,19.0,1.4,30.0,50.0,37.0,13.0,0.74,15.0,13.0,10.0,7.0,3.0,2.0,2.0,11.0,0.978,0.626,17.5,1,12.4,1,247,157,90,0.636,95,65,43,25,12,7,5,27,0.953
2025,1131,55,Florida,1,1,SEC,28,18.5,1,-5.3,14,258,206,52,0.798,64,62,52,38,24,18,12,64,0.9990000000000001,3.4,17.0,5.0,9.0,29.0,19.0,10.0,0.655,10.0,8.0,5.0,5.0,1.0,0.0,0.0,2.0,0.7659999999999999,0.314,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1130,65,Georgia,9,64,SEC,28,-1.3,10,2.6,8,106,42,64,0.396,64,31,5,4,2,0,0,0,0.12300000000000001,-1.2,197.0,-1.4,201.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1129,68,Gonzaga,8,32,WCC,33,0.9,8,3.5,4,113,49,64,0.434,64,33,7,3,3,3,0,0,0.152,3.4,16.0,4.5,11.0,50.0,34.0,16.0,0.68,16.0,15.0,10.0,5.0,2.0,2.0,0.0,6.0,0.9740000000000001,0.687,-2.8,28,0.1,19,70,40,30,0.571,30,20,11,5,2,2,0,6,0.71
2025,1128,69,Grand Canyon,13,64,WAC,32,-2.9,11,1.0,10,81,17,64,0.21,64,15,2,0,0,0,0,0,0.006,0.3,75.0,0.2,78.0,4.0,1.0,3.0,0.25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,-4.0,29,-3.7,28,19,2,17,0.105,17,2,0,0,0,0,0,0,0.01
2025,1127,252,High Point,13,64,BSth,10,-2.9,11,1.0,10,81,17,64,0.21,64,15,2,0,0,0,0,0,0.006,,,,,,,,,,,,,,,,,,,-1.3,22,-1.5,26,14,0,14,0.0,14,0,0,0,0,0,0,0,0.0
2025,1126,76,Houston,1,2,B12,7,18.5,1,-5.3,14,258,206,52,0.798,64,62,52,38,24,18,12,64,0.9990000000000001,-1.6,208.0,0.8,56.0,21.0,14.0,7.0,0.667,7.0,6.0,5.0,2.0,1.0,0.0,0.0,3.0,0.8959999999999999,0.478,-11.3,31,-15.9,32,239,139,100,0.582,103,70,34,20,7,5,3,22,0.956
2025,1125,78,Illinois,6,32,B10,6,-19.6,16,-20.3,16,111,47,64,0.423,64,32,10,5,0,0,0,0,0.299,-2.2,217.0,-3.0,229.0,14.0,7.0,7.0,0.5,7.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.43700000000000006,0.098,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,0.924
2025,1124,83,Iowa St.,3,32,B12,7,6.6,3,4.3,3,185,122,63,0.659,64,56,38,19,5,3,1,0,0.794,-2.5,223.0,-1.8,211.0,21.0,11.0,10.0,0.524,10.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.516,0.10800000000000001,-11.3,31,-15.9,32,239,139,100,0.582,103,70,34,20,7,5,3,22,0.956
2025,1123,86,Kansas,7,64,B12,7,3.2,6,2.6,7,123,60,63,0.488,64,39,12,4,3,1,1,0,0.217,3.9,14.0,-2.5,220.0,55.0,41.0,14.0,0.745,16.0,16.0,9.0,7.0,4.0,3.0,2.0,12.0,0.988,0.733,-11.3,31,-15.9,32,239,139,100,0.582,103,70,34,20,7,5,3,22,0.956
2025,1122,90,Kentucky,3,16,SEC,28,6.6,3,4.3,3,185,122,63,0.659,64,56,38,19,5,3,1,0,0.794,5.3,8.0,6.6,6.0,44.0,32.0,12.0,0.727,13.0,10.0,8.0,7.0,4.0,2.0,1.0,6.0,0.9690000000000001,0.638,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1121,95,Liberty,12,64,CUSA,13,4.0,5,2.6,6,99,35,64,0.354,64,26,8,1,0,0,0,0,0.045,0.3,71.0,0.2,77.0,3.0,1.0,2.0,0.333,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,4.2,4,4.8,4,35,17,18,0.486,18,9,3,2,2,1,0,2,0.319
2025,1120,96,Lipscomb,14,64,ASun,5,-6.9,13,-2.3,12,72,8,64,0.111,64,8,0,0,0,0,0,0,0.005,-0.1,101.0,-0.1,108.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,13,1.2,11,20,4,16,0.2,16,3,1,0,0,0,0,0,0.005
