YEAR,GAME_ID,TEAM_NO_A,TEAM_A,SEED_A,SCORE_A,TEAM_NO_B,TEAM_B,SEED_B,SCORE_B,TEAM_A_WIN,PROG_GAMES_A,PROG_W_A,PROG_L_A,PROG_WIN%_A,PROG_F4%_A,PROG_CHAMP%_A,SEED_GAMES_A,SEED_W_A,SEED_L_A,SEED_WIN%_A,SEED_CHAMP%_A,CONF_GAMES_A,CONF_W_A,CONF_L_A,CONF_WIN%_A,CONF_CHAMP%_A,ADJOE_A,PROG_GAMES_B,PROG_W_B,PROG_L_B,PROG_WIN%_B,PROG_F4%_B,PROG_CHAMP%_B,SEED_GAMES_B,SEED_W_B,SEED_L_B,SEED_WIN%_B,SEED_CHAMP%_B,CONF_GAMES_B,CONF_W_B,CONF_L_B,CONF_WIN%_B,CONF_CHAMP%_B,ADJOE_B,DIFF_SEED,DIFF_ADJOE,DIFF_PROG_GAMES,DIFF_PROG_W,DIFF_PROG_L,DIFF_PROG_WIN%,DIFF_PROG_F4%,DIFF_PROG_CHAMP%,DIFF_SEED_GAMES,DIFF_SEED_W,DIFF_SEED_L,DIFF_SEED_WIN%,DIFF_SEED_CHAMP%,DIFF_CONF_GAMES,DIFF_CONF_W,DIFF_CONF_L,DIFF_CONF_WIN%,DIFF_CONF_CHAMP%
2008,1014,16,Tennessee,2,72,65,American,15,57,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,117.787,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.308,-13,9.479,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1014,65,American,15,57,16,Tennessee,2,72,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.308,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,117.787,13,-9.479,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1015,43,Kansas,1,85,25,Portland St.,16,61,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,121.433,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.411,-15,13.022000000000006,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1015,25,Portland St.,16,61,43,Kansas,1,85,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.411,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,121.433,15,-13.022000000000006,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1016,11,UNLV,8,71,41,Kent St.,9,58,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.183,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.462,-1,1.7210000000000036,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1016,41,Kent St.,9,58,11,UNLV,8,71,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.462,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.183,1,-1.7210000000000036,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1017,55,Clemson,5,69,7,Villanova,12,75,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.102,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.903,-7,5.198999999999998,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1017,7,Villanova,12,75,55,Clemson,5,69,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.903,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.102,7,-5.198999999999998,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1018,8,Vanderbilt,4,62,20,Siena,13,83,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.598,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.144,-9,4.4539999999999935,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1018,20,Siena,13,83,8,Vanderbilt,4,62,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,108.144,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.598,9,-4.4539999999999935,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1019,10,USC,6,67,42,Kansas St.,11,80,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.663,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.383,-5,-2.719999999999999,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
